category,basin_id,relative_path,bytes,sha256
maurer_forcing,10244950,data/camels_us/basin_mean_forcing/maurer/16/10244950_lump_maurer_forcing_leap.txt,619505,084bcd0545156eebeb095fc1c649a88269194e6e13075c06a3165aab0c883c35
usgs_streamflow,10244950,data/camels_us/usgs_streamflow/16/10244950_streamflow_qc.txt,397246,00afce0f5f517493dff5bb9f868bf902be93e78bcbb85076569773603082f1e2
maurer_forcing,09210500,data/camels_us/basin_mean_forcing/maurer/14/09210500_lump_maurer_forcing_leap.txt,621862,4f324d82fccdc24d5db06cce03b35954686b510728b2d948f09a587913a24866
usgs_streamflow,09210500,data/camels_us/usgs_streamflow/14/09210500_streamflow_qc.txt,400686,18da42bb9dec804b30a710d512b27e160096e3087da47818ae483db6c52bbc04
maurer_forcing,14154500,data/camels_us/basin_mean_forcing/maurer/17/14154500_lump_maurer_forcing_leap.txt,615797,7a925f1d1e453226c81382f49f648d3f2abad966c5efd7f48b1502656ef408e7
usgs_streamflow,14154500,data/camels_us/usgs_streamflow/17/14154500_streamflow_qc.txt,396708,ebb809bafe0694bf3093afaa418421841be22554f5a1d7ae61dc57b45f93e3be
maurer_forcing,05408000,data/camels_us/basin_mean_forcing/maurer/07/05408000_lump_maurer_forcing_leap.txt,625662,bad52f968f3eb2249f2a4abfd94ab8e6d084ee3259115529e341f37a4e2348e0
usgs_streamflow,05408000,data/camels_us/usgs_streamflow/07/05408000_streamflow_qc.txt,401496,172d990eb800f3349d20f702cc1f4cb750c0e19d8127dddd6e73a39a65d2c954
maurer_forcing,03604000,data/camels_us/basin_mean_forcing/maurer/06/03604000_lump_maurer_forcing_leap.txt,626300,c87b567d1285f1616b027d8bea8983925b505c4c75e30820179e9403c5a9d760
usgs_streamflow,03604000,data/camels_us/usgs_streamflow/06/03604000_streamflow_qc.txt,396448,337fd4640f6daaced963bc789688fda9779efc035c2e7c0f485aa20b27a0df89
maurer_forcing,02465493,data/camels_us/basin_mean_forcing/maurer/03/02465493_lump_maurer_forcing_leap.txt,629444,b722b97ebf145a224b8d39dbab3a893f5637f696528e67ed11dd3a5873524c1f
usgs_streamflow,02465493,data/camels_us/usgs_streamflow/03/02465493_streamflow_qc.txt,396742,0b07f271e080475f94cb25c9ca17a78daf892d4aa987367d0f600d639e98e5fc
maurer_forcing,04127918,data/camels_us/basin_mean_forcing/maurer/04/04127918_lump_maurer_forcing_leap.txt,623539,a4df77e3147903f7c934f3ebb9fae49d69d8afa62635b41087dfbc150a107d6a
usgs_streamflow,04127918,data/camels_us/usgs_streamflow/04/04127918_streamflow_qc.txt,355867,3a613fca7a73a48f0481d030ebb60c75befe28740bf6d46ad186b9f596625712
maurer_forcing,01605500,data/camels_us/basin_mean_forcing/maurer/02/01605500_lump_maurer_forcing_leap.txt,623264,0fe88b2743daa6c5b67835287550b9bbc75b26c046ae42fe25c32cec1e2aa7d4
usgs_streamflow,01605500,data/camels_us/usgs_streamflow/02/01605500_streamflow_qc.txt,397202,ce81e1e11e1a2cb02b22ae28a3c496a25c4c3b354314441755ffb9a81422b409
maurer_forcing,11266500,data/camels_us/basin_mean_forcing/maurer/18/11266500_lump_maurer_forcing_leap.txt,618998,5a0e6ef3de42745043a9a2e74035a82bf14b5f224292d8b06e9e31a322aba16c
usgs_streamflow,11266500,data/camels_us/usgs_streamflow/18/11266500_streamflow_qc.txt,396776,22fb3e17ea7b089a1479ec2211af854a21bfe80d0be3f4386241891423684d75
maurer_forcing,11481200,data/camels_us/basin_mean_forcing/maurer/18/11481200_lump_maurer_forcing_leap.txt,618312,9f226f9b55991fc2fcb979a506bd1f7f5312d25bcc402133a642bb054c322bc5
usgs_streamflow,11481200,data/camels_us/usgs_streamflow/18/11481200_streamflow_qc.txt,396822,91d6700e4dcb78b91538abe005b0e14310b6f9dbe10177b89912cb38f1ec7775
maurer_forcing,05488200,data/camels_us/basin_mean_forcing/maurer/07/05488200_lump_maurer_forcing_leap.txt,625616,4cf380e8f8ebfcbb71369003a3632d22294044ba187d153e0ccdedf1ab4cca6c
usgs_streamflow,05488200,data/camels_us/usgs_streamflow/07/05488200_streamflow_qc.txt,338040,90bb2cb69a05045f13e9b831e692ebd8069ab44f30033044dd07da6b5185ab32
maurer_forcing,04015330,data/camels_us/basin_mean_forcing/maurer/04/04015330_lump_maurer_forcing_leap.txt,623515,c34d7aeac0ad40dd5b64481061bd5eddbb8847eab924a86e7ee9ec9ae5ef00b7
usgs_streamflow,04015330,data/camels_us/usgs_streamflow/04/04015330_streamflow_qc.txt,400834,7285ac91528209e82c51b4c0ff618323d40b29535e13d98619ea35b06bbac3bd
camels_topography,,data/camels_us/camels_attributes_v2.0/camels_topo.txt,38677,b64ca9923bcaccf21dde33137903797919e8d6732edd7849f8534e0ddcbec8e8
forcing_loader_source,,src/hydroagent/data_loading.py,13430,aa9cf1a4b6dcdf259dd96181c4e6704fedd0bba4f0020b3cdb2464b16aa79de6
parameter_table,,results/10_global_conceptual_model_benchmark/camels_us_531_repro_v01/summary/hbv_lite_cma_rising_local_full.csv,235521,577b12fcb8e1a7a7a607995f0011dbda38a199ee68f3636732b80a3356c16be6
g1_precheck_table,,results/23_camels_switch_confirmation/g1_precheck_v01/g1_precheck.csv,181441,3443ba601434dd30b43c3b5e8a9b838fc666cc394077700ddd4d3e7158b3ee73
