basin_id,seed,relative_path,bytes,sha256
10244950,0,results/23_camels_switch_confirmation/g2_switch_confirmation_v01_noise_nd01_design531_q3e8_r1_s01_20260809_local/probs/10244950_s0.npz,48287,3f2cee67e7da58f0a511794fd68ef606d3944cd5ec1a9e64e744785a1ecc561a
10244950,1,results/23_camels_switch_confirmation/g2_switch_confirmation_v01_noise_nd01_design531_q3e8_r1_s01_20260809_local/probs/10244950_s1.npz,48288,023f205a20a8de71e86bfc7470eb0885e8061570c23f52d63673642fef8f594f
09210500,0,results/23_camels_switch_confirmation/g2_switch_confirmation_v01_noise_nd01_design531_q3e8_r1_s01_20260809_local/probs/09210500_s0.npz,49790,d68dd0641bc3e7a5a56c7995c726bd3634e85bd13ac9bdc6525984d54709d611
09210500,1,results/23_camels_switch_confirmation/g2_switch_confirmation_v01_noise_nd01_design531_q3e8_r1_s01_20260809_local/probs/09210500_s1.npz,49850,35edd0bd8eb9611e10de4d09a250ff28eb72ca9bef4afd05433ac2d1fccb7ff3
14154500,0,results/23_camels_switch_confirmation/g2_switch_confirmation_v01_noise_nd01_design531_q3e8_r1_s01_20260809_local/probs/14154500_s0.npz,48778,de404ea9e4eab54d5488405b6856f8aaaaf04a829a1a9f3a99731f1de338f0a7
14154500,1,results/23_camels_switch_confirmation/g2_switch_confirmation_v01_noise_nd01_design531_q3e8_r1_s01_20260809_local/probs/14154500_s1.npz,48768,9f6c361b071dccdd511338af2ce1e59afafe542b5e59c7f802540717855eaa8c
05408000,0,results/23_camels_switch_confirmation/g2_switch_confirmation_v01_noise_nd01_design531_q3e8_r1_s01_20260809_local/probs/05408000_s0.npz,49710,c53da3f41ddfac73a8e2de480bb58aeb03f12e6eb3950b2ee9ce4d39ce3e143a
05408000,1,results/23_camels_switch_confirmation/g2_switch_confirmation_v01_noise_nd01_design531_q3e8_r1_s01_20260809_local/probs/05408000_s1.npz,49768,de0a8105dc59bab82c60450c1fd74d4bda501d9fb31c4524e3c880a0a43f2b24
03604000,0,results/23_camels_switch_confirmation/g2_switch_confirmation_v01_noise_nd01_design531_q3e8_r1_s01_20260809_local/probs/03604000_s0.npz,49694,82c51574141726cf91352af5e78d7b001102a7404a3ab2947f2aecc051d2bd94
03604000,1,results/23_camels_switch_confirmation/g2_switch_confirmation_v01_noise_nd01_design531_q3e8_r1_s01_20260809_local/probs/03604000_s1.npz,49817,8b23f3fe0df004dd6aa00c0daaaf9aae202546fcca0feeb7dad3b56298f7a63f
02465493,0,results/23_camels_switch_confirmation/g2_switch_confirmation_v01_noise_nd01_design531_q3e8_r1_s01_20260809_local/probs/02465493_s0.npz,49347,3d07cde6b4fb0a9dc68907eb8601e8df8b3add6a8f85ff2552642950bab0c5c0
02465493,1,results/23_camels_switch_confirmation/g2_switch_confirmation_v01_noise_nd01_design531_q3e8_r1_s01_20260809_local/probs/02465493_s1.npz,49341,1c735b8cd74d7f14e855470bbe0463ed249e574222b2954f8a984560b867ade7
04127918,0,results/23_camels_switch_confirmation/g2_switch_confirmation_v01_noise_nd01_design531_q3e8_r1_s01_20260809_local/probs/04127918_s0.npz,48826,fc3144d01aa1d4a04c221c7c0a90d4cdaeb29924e18068cc0f86086a8da83784
04127918,1,results/23_camels_switch_confirmation/g2_switch_confirmation_v01_noise_nd01_design531_q3e8_r1_s01_20260809_local/probs/04127918_s1.npz,49059,62ae20fd9fdb904b52824c093a2b6612e3699ee1824912b28a8abcdc50bf7b9d
01605500,0,results/23_camels_switch_confirmation/g2_switch_confirmation_v01_noise_nd01_design531_q3e8_r1_s01_20260809_local/probs/01605500_s0.npz,48961,ce775515f2483e38bc14a3d6e09b9b21356783ea84958568375f014a410dd205
01605500,1,results/23_camels_switch_confirmation/g2_switch_confirmation_v01_noise_nd01_design531_q3e8_r1_s01_20260809_local/probs/01605500_s1.npz,48197,04efff9fa5575e19ae241185ca2e5ba33aa653bf0b8c6bdb63341ad143bf3d7e
11266500,0,results/23_camels_switch_confirmation/g2_switch_confirmation_v01_noise_nd01_design531_q3e8_r1_s01_20260809_local/probs/11266500_s0.npz,48637,d4d1833bb7e9f2707c8099c35acab1816cc46949b968552792cc71edb2e08cfd
11266500,1,results/23_camels_switch_confirmation/g2_switch_confirmation_v01_noise_nd01_design531_q3e8_r1_s01_20260809_local/probs/11266500_s1.npz,48617,d7dd97fcfbcad38fe3d0979e1df35d4c93977b441dd1e9e096966f55d5941f03
11481200,0,results/23_camels_switch_confirmation/g2_switch_confirmation_v01_noise_nd01_design531_q3e8_r1_s01_20260809_local/probs/11481200_s0.npz,48117,443b695f2f4bcc76ce276608db35696b1a21bb8e2014fbc90e324d153f2f9788
11481200,1,results/23_camels_switch_confirmation/g2_switch_confirmation_v01_noise_nd01_design531_q3e8_r1_s01_20260809_local/probs/11481200_s1.npz,48026,f81a4a276a8c6b65d1a61b808d9b1d118420b2f231001f67abef5c0ec48d8ea8
05488200,0,results/23_camels_switch_confirmation/g2_switch_confirmation_v01_noise_nd01_design531_q3e8_r1_s01_20260809_local/probs/05488200_s0.npz,44266,6571ff1b7ea65c830739f708ab89934a35626efda8942b5e493e74d7b221ad78
05488200,1,results/23_camels_switch_confirmation/g2_switch_confirmation_v01_noise_nd01_design531_q3e8_r1_s01_20260809_local/probs/05488200_s1.npz,45094,461fe034922fcdfdfd8eec2dd857406b0ef55421f4f1c27fd4581479a8558b9d
04015330,0,results/23_camels_switch_confirmation/g2_switch_confirmation_v01_noise_nd01_design531_q3e8_r1_s01_20260809_local/probs/04015330_s0.npz,47323,93d6bb70f372387ba1a2d0e9de9a40a4e1379e82f294a788cea09a5f89edb147
04015330,1,results/23_camels_switch_confirmation/g2_switch_confirmation_v01_noise_nd01_design531_q3e8_r1_s01_20260809_local/probs/04015330_s1.npz,47271,4705d2556dfd9345b05f90f917f8e0d2183920a42e1fb3431c9e82a8ded90e47
